date,headline,source,summary
2024-10-18,Billionaire Says Global Conditions Are Treacherous And Getting Worse: Our Approach,SeekingAlpha,JPMorgan Chase CEO Jamie Dimon emphasized tremendous geopolitical risks facing the economy and market. Find out what strategies to consider for your portfolio.
2024-10-19,2 Incredibly Cheap and Reliable Dividend Stocks With Yields Up to 5.5% to Buy Now,Yahoo,"If you are looking for dividends that keep flowing no matter what the energy market brings, these two stocks are right for you."
2024-10-20,11-14% Yielding Dividend Growers: 2 To Buy And 1 To Sell,SeekingAlpha,"High-yield dividend growth stocks can make for exceptional passive income machines. Find out two 11%+ yields that, we think, are worth buying, and one a sell."
2024-10-21,Big Dividends For Beating Stagflation In Retirement,SeekingAlpha,Stagflation poses a huge threat to retirees seeking to live off of dividends. Click here for a detailed analysis.
2024-10-21,3 Top Energy Dividend Stocks to Buy Right Now,Yahoo,These energy companies should be able to continue growing their attractive dividends.
2024-10-22,2 Supercharged Dividend Stocks to Buy Now,Yahoo,These high-yield stocks can put more cash in your pocket.
2024-10-22,Brookfield Renewable: Excellent Outlook For This High-Yielder,SeekingAlpha,Brookfield Renewable Partners is a top-tier investment in the renewable energy sector with a growing dividend and valuable assets. Click for my BEP update.
2024-10-23,My Dividend Stock Portfolio: New September Dividend Record - 100 Holdings With 12 Buys,SeekingAlpha,"Septembers investment activity was minimal, with $1,000 invested mainly in Business Development Companies. Check out my dividend stock portfolio."
2024-10-24,NextEra Energy Partners: Here Comes The Distribution Cut,SeekingAlpha,NextEra Energy Partners is signalling a potential distribution cut in NEP units. Read more about alternative investments in the renewable power yieldco space.
2024-10-25,PID: Mostly Canadian Dividend Growth ETF,SeekingAlpha,Invesco International Dividend Achievers ETF includes 50 top international stocks. See how PID ETF stands up compared to other investment options.
2024-10-25,Brookfield Renewable Preferreds Offer A Great Yield To Likely Redemption,SeekingAlpha,"Analyzing Brookfield Renewables growth and valuations, with a recommendation for conservative investors on preferred shares."
2024-10-25,"Forget AI Stocks, Buy These 2 Big Dividends Instead",SeekingAlpha,Read more on top investment picks for passive income in retirement with up to 7.5% yields. Click for 2 picks with up to 7.5% yields for passive income.
2024-10-25,Two Strategic Dividend Picks: One For Dividend Income And One For Dividend Growth,SeekingAlpha,I have added Brookfield Renewable Partners and Linde to The Dividend Income Accelerator Portfolio. Learn more about the portfolio here.
2024-10-25,Very Good News For Big Dividend Infrastructure Stocks,SeekingAlpha,Big dividend infrastructure stocks are thriving. See more about the two major catalysts for this surge and find out which opportunities are still appealing.
2024-10-26,7 Stocks Im Buying As Recession Fears Fade And Trump Victory Odds Rise,SeekingAlpha,Assessing the reasons for the recent rise in the 10-year Treasury rate. Check out 7 stocks that Im buying as recession fears fade.
2024-10-27,"Collect at Least $200 in Passive Income Per Year by Investing $1,500 Into Each of These 3 Dividend Stocks",Yahoo,Investing in equal parts of these three dividend stocks produces an average yield of 4.8%.
2024-10-30,Brookfield Acquires Share of Four UK Offshore Wind Farms from Ørsted,Yahoo,"Two leading renewable energy players partner on operational U.K. offshore wind farms. Brookfield to acquire a 12.45% stake in 3.5 GW offshore wind portfolio under long-term contracts LONDON, Oct. 30, 2024 (GLOBE NEWSWIRE) -- Ørsted (CPH: ORSTED) has signed a partnership agreement with Brookfield (NYSE: BAM, TSX: BAM), its institutional partners and its listed affiliate Brookfield Renewable (NYSE: BEP, BEPC; TSX: BEP.UN, BEPC), who will acquire 12.45% minority stakes in four of Ørsted’s operation"
2024-10-31,Brookfield Expands into UK Offshore Wind with Ørsted Deal,Yahoo,"Brookfield Renewable Partners (TSE:BEP.UN) has released an update. Brookfield Renewable Partners is set to acquire a 12.45% stake in four operational U.K. offshore wind farms from Ørsted, marking its first investment in the U.K. offshore wind sector. The $2.3 billion transaction underscores Brookfield’s commitment to expanding its renewable energy portfolio, while Ørsted continues to focus on its strategic farm-down program. The partnership highlights a significant move towards supporting the U."
2024-10-31,This Magnificent High-Yield Dividend Stock Continues to Supercharge Its Growth Engine,Yahoo,Brookfield Renewable is adding to its already powerful growth profile.
2024-10-31,Brookfield acquires share of four UK offshore wind farms from Orsted,Yahoo,"Orsted has signed a partnership agreement with Brookfield, its institutional partners and its listed affiliate Brookfield Renewable, who will acquire 12.45% minority stakes in four of Orsted’s operational U.K. offshore wind farms: Hornsea 1, Hornsea 2, Walney Extension, and Burbo Bank Extension, which have a combined total capacity of approximately 3.5 GW. The enterprise value of the transaction is $2.3B. Brookfield is pursuing this transaction through Brookfield Infrastructure Fund V, the world"
2024-11-01,Buy The Dip In These $10 Trillion Opportunity Big Dividends Hand-Over-Fist,SeekingAlpha,Undervalued dividend stocks poised to benefit from a $10 trillion opportunity in a major macroeconomic shift. Click here for a detailed analysis.
2024-11-03,Want to Make a Lot of Money? Meet the Top Stock With a Plan to Enrich Its Investors Over the Next 5 Years and Beyond.,Yahoo,Brookfield Corporation is a proven wealth creator with plans to continue growing value for its shareholders.
2024-11-04,NextEra Energy Partners Vs. Brookfield Renewable Partners: I Would Go With Brookfield,SeekingAlpha,Learn why Brookfield Renewable Partners (BEP) may be a more stable and reliable choice for investors compared to NextEra Energy Partners (NEP) due to lower interest rate risk.
2024-11-05,Unveiling Brookfield Renewable (BEP) Q3 Outlook: Wall Street Estimates for Key Metrics,Yahoo,Get a deeper insight into the potential performance of Brookfield Renewable (BEP) for the quarter ended September 2024 by going beyond Wall Streets top -and-bottom-line estimates and examining the estimates for some of its key metrics.
2024-11-07,Kimbell Royalty (KRP) Beats Q3 Earnings and Revenue Estimates,Yahoo,"Kimbell Royalty (KRP) delivered earnings and revenue surprises of 4.76% and 5.18%, respectively, for the quarter ended September 2024. Do the numbers hold clues to what lies ahead for the stock?"
2024-11-08,3 Dividend Growth Stocks That Are Screaming Buys in November,Yahoo,"If youre looking for dividend growth, these three stocks will probably be of great interest to you in November."
2024-11-08,How I Would Retire Early With $1 Million,SeekingAlpha,Living off passive income from dividends is a stress-free retirement strategy. See my recommended portfolio that could meet living expenses for an early retiree.
2024-11-08,Brookfield Renewable Partners L.P. Limited Partnership Units (BEP) Q3 2024 Earnings Call Transcript,SeekingAlpha,"Brookfield Renewable Partners L.P. Limited Partnership Units (NYSE:BEP) Q3 2024 Earnings Conference Call November 8, 2024 8:30 AM ETCompany..."
2024-11-08,Brookfield Renewable: Q3 Earnings Snapshot,Yahoo,"HAMILTON, Bermuda (AP) — Brookfield Renewable Energy Partners LP (BEP) on Friday reported a loss of $39 million in its third quarter. The Hamilton, Bermuda-based company said it had a loss of 32 cents per share. The operator of hydroelectric and wind power generation facilities posted revenue of $1.47 billion in the period."
2024-11-08,"Brookfield Renewable Corporation (BEPC) Reports Q3 Loss, Tops Revenue Estimates",Yahoo,"Brookfield Renewable (BEPC) delivered earnings and revenue surprises of -14.29% and 7.67%, respectively, for the quarter ended September 2024. Do the numbers hold clues to what lies ahead for the stock?"
2024-11-08,Brookfield Renewable Announces Record Third Quarter Results,Yahoo,"All amounts in U.S. dollars unless otherwise indicated BROOKFIELD, News, Nov. 08, 2024 (GLOBE NEWSWIRE) -- Brookfield Renewable Partners L.P. (TSX: BEP.UN; NYSE: BEP) (“Brookfield Renewable Partners”, BEP) today reported financial results for the three and nine months ended September 30, 2024. We had another successful quarter highlighted by agreements to monetize several assets, crystallizing strong returns and generating significant funds to deploy into future growth. We also signed numerou"
2024-11-09,Brookfield Renewable Partners (BEP) Q3 2024 Earnings Call Transcript,Yahoo,"BEP earnings call for the period ending September 30, 2024."
2024-11-09,My Portfolios Biggest Winners And Losers From A Republican Sweep,SeekingAlpha,"Financial writer discusses market reaction to election results; S&P 500 rises, REITs weighed down, portfolio adjustments made for high-conviction. Read more here."
2024-11-09,Brookfield Renewable Corp (BEPC) Q3 2024 Earnings Call Highlights: Record FFO and Strategic ...,Yahoo,"Brookfield Renewable Corp (BEPC) reports a robust quarter with significant asset monetizations, strong liquidity, and strategic investments in renewable energy projects."
2024-11-09,Brookfield Renewable: Revisiting The Thesis After Trumps Victory,SeekingAlpha,Trumps victory compelled the market to initially sell off Brookfield Renewable stock. Read why the market may have made a mistake with regard to the sell-off.
2024-11-09,Brookfield Renewable Partners LP (BEP) Q3 2024 Earnings Call Highlights: Record FFO and ...,Yahoo,Brookfield Renewable Partners LP (BEP) reports strong financial performance and strategic advancements amid market challenges.
2024-11-09,Q3 2024 Brookfield Renewable Corp and Brookfield Renewable Partners LP Earnings Call,Yahoo,Q3 2024 Brookfield Renewable Corp and Brookfield Renewable Partners LP Earnings Call
2024-11-09,"Compared to Estimates, Brookfield Renewable (BEP) Q3 Earnings: A Look at Key Metrics",Yahoo,"While the top- and bottom-line numbers for Brookfield Renewable (BEP) give a sense of how the business performed in the quarter ended September 2024, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values."
2024-11-10,This 4.5%-Yielding Dividend Stock Continues to Deliver Powerful Growth,Yahoo,Brookfield Renewable expects to continue generating high-powered earnings growth.
2024-11-11,3 Supercharged Stocks That Could Soar Even Higher,Yahoo,These growth stocks could continue producing robust returns.
2024-11-12,NextEra Energy Partners: 3 Reasons We Are Upgrading To A Strong Cry,SeekingAlpha,"Despite the ongoing crash, we are upgrading the stock to a Strong Cry due to emerging risks for bears. Explore more details here."
2024-11-13,HealthEquity Announces Retirement of CEO Jon Kessler; Scott Cutler Appointed Successor,Yahoo,"DRAPER, Utah, Nov. 12, 2024 (GLOBE NEWSWIRE) -- HealthEquity, Inc. (NASDAQ: HQY) (“HealthEquity” or the “Company”), the nation’s largest health savings account (“HSA) custodian, today announced that after leading the company for more than 15 years, Jon Kessler, President and Chief Executive Officer, has decided to retire effective January 6, 2025. Mr. Kessler will remain a director and act a special advisor to the Company through April 30, 2025. To succeed Mr. Kessler, the Company announced the"
2024-11-14,"How To Build A $100,000 Dividend Portfolio: A Strategic Guide To Balance Income And Growth",SeekingAlpha,The portfolio effectively integrates the generation of dividend income with the potential for dividend growth. Read more to see my recommendations.
2024-11-15,Here Are My Top 2 Dividend Stocks to Buy Now,Yahoo,"Dividend stocks can be fantastic long-term investments.  Over the past 50 years, the average dividend stock in the S&P 500 has outperformed nonpayers by more than 2-to-1.  The best returns have come from companies that consistently increase their dividends."
2024-11-18,NML: Well-Positioned For The Incoming Administration,SeekingAlpha,"The Neuberger Berman Energy Infrastructure and Income Fund offers a high yield of 7.86%, making it reasonably attractive for income-focused investors. Read more here."
2024-11-18,Buy The Dip: 6-11% Yields For Growing Retirement Dividend Income,SeekingAlpha,The broader markets are soaring right now. Discover three top high-yield dividend growth stocks trading at discounted prices in the current market.
2024-11-18,Brookfield Renewable Partners (BEP)’s Nuclear Bet: Westinghouse’s Role in Bulgaria’s Energy Future,Yahoo,"We recently published a list of 10 Best Nuclear Energy Stocks To Invest In Now. In this article, we are going to take a look at where Brookfield Renewable Partners (NYSE:BEP) stands against other best nuclear energy stocks to invest in now. According to the September updated edition of the report, “Pathways to Commercial Liftoff […]"
2024-11-19,2 No-Brainer Energy Stocks to Buy to Cash in on the Coming Power Surge,Yahoo,"The U.S. power sector is at an inflection point.  After barely growing over the last 20 years, electricity demand in the country is on track to surge over the next two decades.  Few companies are in a better position to capitalize on the expected surge in U.S. power demand than NextEra Energy (NYSE: NEE) and Brookfield Renewable (NYSE: BEPC)(NYSE: BEP)."
2024-11-20,TVA Enters 10-year Power Purchase Agreement with Argo and Brookfield’s Smoky Mountain Hydro Facilities,Yahoo,"NEW YORK & KNOXVILLE, Tenn., November 19, 2024--Tennessee Valley Authority (TVA) together with Argo Infrastructure Partners, LP (Argo) and Brookfield Asset Management (Brookfield) (NYSE: BAM, TSX: BAM), with its listed affiliate Brookfield Renewable (NYSE: BEP, BEPC; TSX: BEP.UN, BEPC) today announced the signing of a landmark 10-year power purchase agreement (PPA) with power to be delivered by the Cheoah, Calderwood, Chilhowee and Santeetlah dams, together known as the Smoky Mountain Hy"
2024-11-20,TerraForm Power Names Mark Noyes as CEO,Yahoo,"NEW YORK, Nov. 19, 2024 (GLOBE NEWSWIRE) -- TerraForm Power, a leading developer, builder, and operator of renewable power, announced today that it has named Mark Noyes as Chief Executive Officer and President to further the company’s strategy across existing and new opportunities for growth. Mr. Noyes brings with him over 30 years of experience in the energy sector and joins TerraForm Power from RWE Clean Energy’s leadership team where he was the Chief Executive Officer. Under his leadership, R"
2024-11-20,TVA secures ten-year PPA for 377MW hydroelectric power,Yahoo,"Clean energy will be supplied from the Cheoah, Calderwood, Chilhowee and Santeetlah dams."
2024-11-20,My Dividend Stock Portfolio: New October Dividend Record - 100 Holdings With 15 Buys,SeekingAlpha,"Investment activity in October focused on Business Development Companies. Check out my portfolio, my main picks, and my target for 2024."
2024-11-21,Allocating $50K In A Dividend Portfolio: Enhancing SCHD With 10 High-Yield Picks,SeekingAlpha,Learn how to build a $50k dividend portfolio by enhancing Schwab U.S. Dividend Equity ETF with Novembers top 10 high dividend yield picks. Click for more on SCHD.
2024-11-21,2 High-Yield Dividend Stocks You Can Buy and Hold for a Decade,Yahoo,"Dividend stocks can be phenomenal long-term investments.  For example, a stock delivering a 10% annual total return can double your money every seven years.  Brookfield Renewable (NYSE: BEPC)(NYSE: BEP) and Enbridge (NYSE: ENB) are great stocks for those seeking a high dividend yield."
2024-11-23,Billionaire Bill Ackman Recently Bought One of My Favorite Stocks. Heres Why I Think It Was a Brilliant Move.,Yahoo,"Bill Ackman is a billionaire nine times over, according to Forbes.  One stock he recently loaded up on is Brookfield (NYSE: BN) -- which also happens to be one of my favorite stocks and top holdings.  Heres why I think buying Brookfield was a wise move that will likely make Ackman even more money."
2024-11-23,1 Ultra-High-Yield Dividend Stock (I Just Bought) That You Can Buy and Hold for a Decade,Yahoo,"Mr. Market, a construct of the famous value investor Benjamin Graham, is a fickle individual.  When shopping for potential investments, I occasionally get access to the attractive price, which is what happened with my investment in WEC Energy (NYSE: WEC).  The yield, the history of dividend growth, and the opportunity presented by the utilitys ongoing shift toward cleaner energy was more than enough to get me in the door."
2024-11-23,7 Stocks Im Buying In Defiance Of Post-Election Euphoria,SeekingAlpha,"There is a dangerous euphoria in certain stock sectors. Heres my dividend stock buy list, which have not enjoyed even a little bit of the post-election optimism."
2024-11-23,"Dividend Champion, Contender, And Challenger Highlights: Week Of November 24",SeekingAlpha,"Stay informed on dividend activity with a weekly summary for Dividend Champions, Contenders, and Challengers, including changes and upcoming dates."
2024-11-24,Billionaire Bill Ackman Bought These 2 Dividend Stocks Hand Over Fist in Q3,Yahoo,"Pershing Square bought roughly 25.9 million shares of Brookfield in Q3, increasing its stake by almost 378%.  Brookfield is a dividend stock, but I doubt theres an income investor on the planet who would get excited about the companys dividend.  The forward dividend yield is a paltry 0.55%."
2024-11-25,"Got $1,000? Here Are 3 Great Energy Stocks to Buy Right Now.",Yahoo,"The energy industry has reached a major inflection point.  Brookfield Renewable (NYSE: BEPC)(NYSE: BEP), Clearway Energy (NYSE: CWEN.A)(NYSE: CWEN), and NextEra Energy (NYSE: NEE) stand out to a few Fool.com contributors as the best ones to buy for those with $1,000 to invest right now."
