date,headline,source,summary
2024-10-18,3 Heavily Shorted Stocks That Are Down More Than 75% Since 2021. Can They Turn Things Around?,Yahoo,Are these stocks too risky to take a chance on today?
2024-10-24,1 Reason I Havent Bought Plug Power and Probably Never Will,Yahoo,The hydrogen company still hasnt matured.
2024-10-26,Why the Market Dipped But Plug Power (PLUG) Gained Today,Yahoo,"The latest trading day saw Plug Power (PLUG) settling at $2.15, representing a +0.94% change from its previous close."
2024-10-29,"If You Bought 1 Share of Plug Power at Its IPO, Heres How Much Money Youd Have Now",Yahoo,Plug Power investors have been taken for a ride.
2024-11-01,2 Growth Stocks Down 36% and 97% to Buy Right Now,Yahoo,"As difficult as it might be to step into a stock while its down, thats the best time to plug in to a good growth story."
2024-11-04,Plug to Announce 2024 Third Quarter Results,Yahoo,"SLINGERLANDS N.Y., Nov. 04, 2024 (GLOBE NEWSWIRE) -- Plug Power Inc. (NASDAQ: PLUG), a global leader in comprehensive hydrogen solutions for the green hydrogen economy, will announce its 2024 third quarter results on Tuesday November 12, 2024. Join the call: Date: November 12, 2024Time: 8:30 AM ETToll-free: 877-407-9221 / +1 201-689-8597Direct webcast: https://event.webcasts.com/starthere.jsp?ei=1692922&tp_key=d012114e58 The webcast can also be accessed directly from the Plug homepage (www.plugp"
2024-11-04,Stocks to watch if Kamala Harris wins the US election,Yahoo,What could a Kamala Harris victory mean for sectors and stocks?
2024-11-05,Plug Power: Potential Asymmetric Upside,SeekingAlpha,Steep revenue drop in H1 2024 and high cash burn from operations fuel the current pessimism around Plug Power stock. Find out why PLUG stock is a Strong Buy.
2024-11-05,Why Plug Power Stock Charged Higher Today,Yahoo,Investors think Plug Powers electrolyzers might have a growing new market.
2024-11-06,Heres Why Plug Power (PLUG) Gained But Lagged the Market Today,Yahoo,"In the latest trading session, Plug Power (PLUG) closed at $2.52, marking a +0.4% move from the previous day."
2024-11-06,"What Trumps victory means for EV industry, Musk",Yahoo,"Following former President Donald Trumps 2024 victory, one of the big sectors in focus for Wall Street is the EV (electric vehicle) industry.  Wedbush analyst Dan Ives believes a Donald Trump presidency would be a huge positive for Tesla (TSLA) and its CEO, Elon Musk, a strong supporter of the president-elect. However, automakers like Tesla, Ford (F), General Motors (GM), Stellantis (STLA), and Rivian (RIVN) could feel the impact if Trump were to repeal EV tax credits. Yahoo Finance Anchor Brad Smith breaks down some of the big takeaways in the video above. For more market reaction to the 2024 election, click here. This post was written by Kevin Hall"
2024-11-06,"Why First Solar, Sunnova Energy, and Plug Power Stocks All Crashed Today",Yahoo,Green energy stocks are selling off post-election. Is this a buying opportunity?
2024-11-06,Why Trumps Victory Is So Dangerous for Clean-Energy Companies,Yahoo,"Clean-energy stocks are getting battered.  Investors are worried Donald Trump could try to repeal a key climate law and impose high tariffs on Chinese goods, pushing up costs across the board.  Solar-panel maker First Solar, one of the biggest winners from the 2022 law, the Inflation Reduction Act, fell about 19% in morning trading."
2024-11-07,What Analyst Projections for Key Metrics Reveal About Plug Power (PLUG) Q3 Earnings,Yahoo,"Besides Wall Streets top -and-bottom-line estimates for Plug Power (PLUG), review projections for some of its key metrics to gain a deeper understanding of how the company might have fared during the quarter ended September 2024."
2024-11-07,Why Plug Power (PLUG) Shares Are Trading Lower Today,Yahoo,Shares of fuel cell technology Plug Power (NASDAQ:PLUG) fell 25% in the morning session after renewable energy stocks declined as Republican party candidate Donald Trump was declared the winner of the 2024 US presidential election.
