Date,Mkt-RF,SMB,HML,RF
2025-10-13,0.6824,-0.2145,0.3876,0.0142
2025-10-14,0.4512,0.1289,-0.1563,0.0141
2025-10-15,-0.2378,0.3456,0.2891,0.0143
2025-10-16,0.3124,-0.1876,0.4123,0.0142
2025-10-17,0.1567,0.2341,-0.0987,0.0141
2025-10-20,-0.0892,-0.3124,0.1765,0.014
2025-10-21,0.4231,0.1567,0.2456,0.0142
2025-10-22,-0.3456,0.2891,-0.1876,0.0141
2025-10-23,0.5678,-0.0987,0.3124,0.0143
2025-10-24,0.2341,0.4123,0.1567,0.0142
2025-10-27,-0.1765,-0.2456,-0.3124,0.0141
2025-10-28,0.7892,0.0987,0.4231,0.014
2025-10-29,-0.4231,0.1765,-0.1563,0.0142
2025-10-30,0.3124,-0.2891,0.2341,0.0141
2025-10-31,-0.1567,0.3456,0.0987,0.0143
2025-11-03,0.5678,-0.1876,0.4123,0.0142
2025-11-04,0.2341,0.1567,-0.0987,0.0141
2025-11-05,-0.3124,0.2891,0.1765,0.014
2025-11-06,0.7892,-0.0987,0.3456,0.0142
2025-11-07,0.1567,0.4123,-0.2341,0.0141
2025-11-10,-0.4231,0.0987,0.1567,0.0143
2025-11-11,0.3124,-0.1765,0.2891,0.0142
2025-11-12,0.5678,0.2341,-0.0987,0.0141
