date,category,directional_score
2024-10-18,Neutral,0.10
2024-10-18,Bullish,0.80
2024-10-18,Neutral,0.20
2024-10-19,Neutral,0.25
2024-10-19,Neutral,0.30
2024-10-19,Bullish,0.70
2024-10-23,Neutral,0.15
2024-10-23,Neutral,0.00
2024-10-24,Bullish,0.75
2024-10-24,Bullish,0.70
2024-10-25,Bullish,0.70
2024-10-25,Neutral,0.00
2024-10-25,Neutral,0.00
2024-10-25,Neutral,0.00
2024-10-26,Neutral,0.20
2024-10-29,Neutral,0.15
2024-10-29,Bullish,0.85
2024-10-29,Neutral,0.10
2024-10-30,Neutral,0.15
2024-10-30,Bullish,0.80
2024-11-01,Neutral,0.00
2024-11-01,Neutral,0.00
2024-11-01,Neutral,0.10
2024-11-01,Bullish,0.60
2024-11-01,Bullish,0.75
2024-11-04,Bullish,0.80
2024-11-05,Neutral,0.20
2024-11-05,Bullish,0.90
2024-11-08,Neutral,-0.20
2024-11-13,Neutral,0.20
2024-11-14,Neutral,0.25
2024-11-18,Bullish,0.75
2024-11-19,Neutral,-0.15
2024-11-22,Neutral,-0.05
2024-11-24,Neutral,0.05
2024-11-25,Neutral,-0.30
2024-11-29,Bullish,0.70
2024-11-29,Neutral,0.10
2024-11-29,Neutral,0.00
2024-11-30,Neutral,0.20
2024-12-05,Bullish,0.65
2024-12-05,Neutral,0.15
2024-12-06,Neutral,-0.20
2024-12-07,Neutral,0.00
2024-12-08,Neutral,0.10
2024-12-10,Neutral,0.25
2024-12-12,Neutral,0.00
2024-12-14,Bullish,0.80
2024-12-14,Neutral,-0.05
2024-12-17,Bullish,0.85
2024-12-18,Neutral,0.25
2024-12-19,Bullish,0.65
2024-12-20,Neutral,0.10
2024-12-22,Neutral,0.30
2024-12-24,Neutral,0.00
2024-12-27,Neutral,0.05
2024-12-28,Bullish,0.70
2024-12-30,Neutral,0.20
2024-12-30,Neutral,0.15
2024-12-31,Neutral,-0.20
2025-01-02,Neutral,0.00
2025-01-03,Neutral,0.00
2025-01-04,Neutral,0.10
2025-01-06,Bullish,0.60
2025-01-07,Neutral,-0.20
2025-01-08,Neutral,0.00
2025-01-09,Neutral,0.00
2025-01-11,Neutral,0.00
2025-01-15,Neutral,0.00
2025-01-16,Neutral,0.00
2025-01-19,Neutral,0.00
2025-01-20,Neutral,-0.10
2025-01-22,Bullish,0.70
2025-01-22,Neutral,0.10
2025-01-22,Bearish,-0.70
2025-01-23,Bullish,0.75
2025-01-23,Neutral,0.00
2025-01-23,Bullish,0.65
2025-01-24,Neutral,0.00
2025-01-26,Bullish,0.85
2025-02-01,Neutral,0.00
2025-02-04,Neutral,0.00
2025-02-07,Neutral,0.20
2025-02-08,Neutral,0.30
2025-02-08,Neutral,0.20
2025-02-13,Neutral,-0.10
2025-02-14,Neutral,0.00
2025-02-14,Neutral,0.10
2025-02-16,Neutral,-0.15
2025-02-20,Neutral,-0.05
2025-02-21,Bullish,0.65
2025-02-24,Bullish,0.65
2025-02-27,Bullish,0.40
2025-02-27,Neutral,0.20
2025-02-27,Neutral,-0.30
2025-03-07,Bullish,0.70
2025-03-07,Bullish,0.80
2025-03-08,Neutral,0.20
2025-03-10,Bearish,-0.65
2025-03-12,Neutral,-0.10
2025-03-14,Neutral,-0.10
2025-03-15,Bearish,-0.75
2025-03-15,Neutral,0.00
2025-03-15,Neutral,0.00
2025-03-18,Neutral,0.10
2025-03-20,Neutral,0.10
2025-03-21,Bullish,0.60
2025-03-21,Neutral,0.20
2025-03-24,Bullish,0.65
2025-03-26,Neutral,0.00
2025-03-27,Bullish,0.40
2025-03-28,Neutral,-0.20
2025-03-28,Bullish,0.85
2025-03-31,Neutral,0.00
2025-04-01,Bullish,0.80
2025-04-03,Bearish,-0.70
2025-04-04,Neutral,0.10
2025-04-05,Bullish,0.55
2025-04-09,Neutral,0.00
2025-04-09,Bullish,0.65
2025-04-10,Bullish,0.60
2025-04-15,Neutral,0.10
2025-04-15,Neutral,0.00
2025-04-16,Neutral,0.00
2025-04-16,Neutral,-0.10
2025-04-16,Bullish,0.80
2025-04-17,Neutral,0.10
2025-04-17,Neutral,0.10
2025-04-20,Bullish,0.75
2025-04-21,Neutral,0.00
2025-04-24,Bullish,0.70
2025-04-27,Bullish,0.90
2025-04-28,Bullish,0.60
2025-04-29,Bullish,0.75
2025-05-01,Bullish,0.70
2025-05-01,Bullish,0.65
2025-05-03,Neutral,0.00
2025-05-06,Neutral,0.10
2025-05-06,Neutral,0.00
2025-05-07,Neutral,0.10
2025-05-07,Bullish,0.75
2025-05-08,Neutral,0.15
2025-05-17,Neutral,0.20
2025-05-19,Bullish,0.85
2025-05-20,Neutral,0.00
2025-05-23,Bullish,0.60
2025-05-23,Bullish,0.70
2025-05-24,Neutral,-0.05
2025-05-25,Neutral,0.20
2025-05-27,Bullish,0.95
2025-05-28,Neutral,0.20
2025-05-28,Neutral,0.00
2025-05-29,Bullish,0.90
2025-06-01,Bullish,0.60
2025-06-03,Neutral,0.00
2025-06-04,Neutral,0.00
2025-06-05,Neutral,-0.20
2025-06-05,Neutral,0.00
2025-06-06,Neutral,0.00
2025-06-10,Neutral,-0.10
2025-06-11,Bullish,0.55
2025-06-13,Bullish,0.75
2025-06-18,Bullish,0.60
2025-06-20,Neutral,0.00
2025-06-20,Bullish,0.80
2025-06-21,Bullish,0.70
2025-06-21,Bullish,0.65
2025-06-23,Bullish,0.70
2025-06-24,Neutral,0.00
2025-06-26,Bullish,0.85
2025-06-26,Neutral,0.20
2025-06-26,Neutral,0.00
2025-06-28,Bullish,0.55
2025-07-01,Neutral,0.00
2025-07-02,Bearish,-0.75
2025-07-02,Bearish,-0.70
2025-07-03,Neutral,-0.25
2025-07-03,Bullish,0.70
2025-07-07,Neutral,0.00
2025-07-10,Bullish,0.85
2025-07-13,Neutral,0.00
2025-07-14,Neutral,0.20
2025-07-14,Neutral,0.10
2025-07-15,Neutral,0.00
2025-07-15,Neutral,0.00
2025-07-17,Bearish,-0.60
2025-07-17,Bearish,-0.90
2025-07-18,Neutral,0.00
2025-07-21,Neutral,0.30
2025-07-22,Neutral,0.25
2025-07-23,Neutral,0.00
2025-07-29,Neutral,0.20
2025-07-29,Neutral,0.00
2025-08-01,Bullish,0.55
2025-08-05,Neutral,0.00
2025-08-05,Neutral,0.00
2025-08-07,Neutral,0.00
2025-08-07,Neutral,0.00
2025-08-07,Bullish,0.40
2025-08-09,Bullish,0.60
2025-08-11,Neutral,0.45
2025-08-13,Neutral,0.25
2025-08-13,Neutral,0.0
2025-08-14,Neutral,0.25
2025-08-14,Neutral,0.3
2025-08-20,Neutral,0.3
2025-08-21,Neutral,0.0
2025-08-25,Neutral,0.1
2025-08-25,Neutral,0.15
2025-08-27,Neutral,0.35
2025-08-28,Neutral,0.1
2025-08-31,Neutral,0.1
2025-09-01,Neutral,-0.2
2025-09-01,Neutral,0.25
2025-09-02,Neutral,0.2
2025-09-03,Bullish,0.75
2025-09-04,Neutral,0.0
2025-09-04,Neutral,0.1
2025-09-07,Neutral,0.0
2025-09-08,Neutral,0.0
2025-09-11,Neutral,0.0
2025-09-16,Neutral,0.3
2025-09-18,Neutral,0.1
2025-09-18,Neutral,0.0
2025-09-19,Neutral,0.4
2025-09-20,Neutral,0.0
2025-09-22,Neutral,0.15
2025-09-25,Neutral,0.2
2025-09-29,Bullish,0.85
2025-09-29,Bullish,0.7
2025-09-30,Neutral,0.35
2025-10-01,Neutral,0.4
2025-10-01,Neutral,0.0
2025-10-02,Neutral,-0.3
2025-10-02,Neutral,0.3
2025-10-03,Bullish,0.75
2025-10-03,Neutral,0.3
2025-10-04,Neutral,0.45
2025-10-06,Neutral,-0.25
2025-10-07,Bullish,0.7
2025-10-07,Neutral,0.0
2025-10-07,Neutral,0.1
2025-10-07,Neutral,0.5
2025-10-09,Neutral,0.55
2025-10-09,Neutral,0.0
2025-10-10,Neutral,0.0
2025-10-10,Neutral,0.2
2025-10-11,Neutral,0.0
2025-10-11,Neutral,0.0
2025-10-12,Neutral,0.0
