date,category,directional_score
2024-10-18,Bearish,-0.75
2024-10-18,Neutral,0.1
2024-10-18,Neutral,0.15
2024-10-18,Neutral,0.0
2024-10-19,Neutral,0.05
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.05
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.0
2024-10-19,Neutral,0.0
2024-10-22,Neutral,0.1
2024-10-22,Bullish,0.7
2024-10-22,Neutral,0.0
2024-10-22,Neutral,0.0
2024-10-23,Neutral,0.0
2024-10-23,Bullish,0.65
2024-10-23,Neutral,0.0
2024-10-23,Bullish,0.75
2024-10-23,Bullish,0.7
2024-10-23,Bullish,0.7
2024-10-23,Bearish,-0.7
2024-10-23,Bullish,0.6
2024-10-24,Bullish,0.6
2024-10-24,Neutral,0.05
2024-10-24,Bullish,0.65
2024-10-24,Bullish,0.8
2024-10-24,Neutral,0.1
2024-10-24,Neutral,0.1
2024-10-24,Neutral,0.0
2024-10-24,Neutral,0.0
2024-10-25,Neutral,0.0
2024-10-25,Neutral,0.0
2024-10-25,Neutral,0.0
2024-10-25,Neutral,0.1
2024-10-25,Neutral,0.0
2024-10-26,Neutral,0.0
2024-10-26,Neutral,0.0
2024-10-26,Bullish,0.65
2024-10-26,Neutral,0.0
2024-10-26,Neutral,0.0
2024-10-26,Bearish,-0.8
2024-10-26,Neutral,0.0
2024-10-26,Neutral,0.0
2024-10-26,Neutral,0.0
2024-10-27,Neutral,0.0
2024-10-28,Neutral,0.05
2024-10-31,Neutral,0.0
2024-10-31,Neutral,0.0
2024-10-31,Bullish,0.75
2024-10-31,Neutral,-0.1
2024-10-31,Neutral,0.0
2024-10-31,Neutral,0.0
2024-10-31,Neutral,0.1
2024-10-31,Bullish,0.9
2024-10-31,Neutral,0.1
2024-11-01,Bullish,0.65
2024-11-01,Neutral,0.0
2024-11-01,Bullish,0.85
2024-11-02,Bullish,0.7
2024-11-02,Neutral,0.0
2024-11-02,Bullish,0.65
2024-11-02,Bullish,0.8
2024-11-02,Neutral,0.1
2024-11-04,Neutral,0.0
2024-11-05,Bullish,0.75
2024-11-05,Bearish,-0.7
2024-11-05,Neutral,0.05
2024-11-05,Bullish,0.65
2024-11-06,Neutral,0.1
2024-11-07,Neutral,0.0
2024-11-07,Bullish,0.7
2024-11-07,Neutral,0.1
2024-11-08,Neutral,0.0
2024-11-08,Bullish,0.75
2024-11-08,Neutral,0.0
2024-11-08,Bullish,0.65
2024-11-09,Neutral,0.05
2024-11-11,Neutral,0.0
2024-11-11,Bullish,0.7
2024-11-12,Neutral,0.05
2024-11-12,Bullish,0.65
2024-11-12,Neutral,0.05
2024-11-12,Neutral,0.0
2024-11-12,Neutral,0.0
2024-11-12,Bearish,-0.75
2024-11-13,Bullish,0.6
2024-11-13,Neutral,0.0
2024-11-14,Bullish,0.65
2024-11-15,Neutral,0.0
2024-11-15,Bullish,0.7
2024-11-15,Bullish,0.65
2024-11-16,Neutral,0.0
2024-11-18,Bullish,0.75
2024-11-19,Neutral,0.0
2024-11-19,Neutral,0.0
2024-11-19,Bullish,0.65
2024-11-20,Neutral,0.0
2024-11-21,Bullish,0.7
2024-11-21,Bullish,0.75
2024-11-22,Bullish,0.85
2024-11-22,Bullish,0.9
2024-11-23,Neutral,-0.2
2024-11-23,Neutral,0.0
2024-11-23,Neutral,0.1
2024-11-24,Bullish,0.8
2024-11-25,Neutral,0.0
2024-11-26,Neutral,0.1
2024-11-27,Bullish,0.65
2024-11-27,Neutral,0.0
2024-11-27,Neutral,0.0
2024-11-28,Bullish,0.7
2024-11-28,Neutral,0.1
2024-11-29,Neutral,0.0
2024-11-30,Neutral,0.0
2024-11-30,Neutral,0.0
2024-12-03,Neutral,0.0
2024-12-04,Bullish,0.75
2024-12-04,Neutral,0.0
2024-12-04,Neutral,0.0
2024-12-04,Neutral,0.0
2024-12-04,Bullish,0.7
2024-12-04,Neutral,0.0
2024-12-05,Bullish,0.85
2024-12-05,Neutral,0.0
2024-12-05,Neutral,0.0
2024-12-06,Neutral,0.0
2024-12-07,Bullish,0.8
2024-12-08,Neutral,0.0
2024-12-09,Bullish,0.65
2024-12-09,Neutral,-0.1
2024-12-10,Neutral,0.0
2024-12-10,Bearish,-0.65
2024-12-10,Neutral,0.0
2024-12-11,Neutral,0.0
2024-12-11,Bullish,0.65
2024-12-11,Neutral,0.0
2024-12-11,Bullish,0.7
2024-12-12,Neutral,0.0
2024-12-12,Bullish,0.75
2024-12-12,Bullish,0.65
2024-12-13,Bullish,0.7
2024-12-13,Neutral,0.0
2024-12-13,Neutral,0.0
2024-12-13,Neutral,0.0
2024-12-14,Neutral,0.0
2024-12-14,Neutral,0.0
2024-12-14,Bullish,0.85
2024-12-15,Neutral,0.05
2024-12-15,Neutral,0.0
2024-12-17,Bullish,0.75
2024-12-17,Neutral,-0.1
2024-12-17,Neutral,0.0
2024-12-18,Neutral,0.0
2024-12-18,Bullish,0.65
2024-12-18,Neutral,0.0
2024-12-19,Neutral,0.05
2024-12-19,Neutral,0.0
2024-12-19,Neutral,0.0
2024-12-21,Neutral,0.05
2024-12-21,Bullish,0.7
2024-12-21,Neutral,0.0
2024-12-22,Bullish,0.7
2024-12-22,Neutral,0.0
2024-12-24,Neutral,0.0
2024-12-24,Neutral,0.0
2024-12-24,Neutral,0.0
2024-12-24,Neutral,0.0
2024-12-25,Neutral,0.0
2024-12-26,Neutral,0.0
2024-12-27,Bullish,0.65
2024-12-27,Bullish,0.65
2024-12-28,Bearish,-0.65
2024-12-28,Neutral,0.0
2024-12-29,Neutral,-0.1
2024-12-30,Bullish,0.75
2025-01-01,Neutral,0.0
2025-01-01,Bullish,0.8
2025-01-02,Neutral,0.0
2025-01-03,Bullish,0.7
2025-01-03,Bullish,0.75
2025-01-03,Bullish,0.85
2025-01-03,Neutral,0.0
2025-01-04,Bullish,0.9
2025-01-04,Neutral,0.0
2025-01-05,Neutral,0.0
2025-01-06,Neutral,0.0
2025-01-06,Neutral,0.0
2025-01-06,Bullish,0.7
2025-01-07,Neutral,0.0
2025-01-07,Neutral,0.0
2025-01-07,Neutral,0.0
2025-01-07,Neutral,0.0
2025-01-07,Neutral,0.0
2025-01-08,Bullish,0.75
2025-01-08,Bullish,0.8
2025-01-08,Bullish,0.8
2025-01-08,Bullish,0.7
2025-01-08,Neutral,0.0
2025-01-08,Neutral,0.0
2025-01-08,Bullish,0.75
2025-01-08,Bullish,0.65
2025-01-09,Neutral,0.0
2025-01-09,Bullish,0.7
2025-01-09,Neutral,-0.2
2025-01-09,Bullish,0.85
2025-01-09,Neutral,-0.35
2025-01-10,Neutral,0.0
2025-01-10,Bullish,0.7
2025-01-10,Bullish,0.65
2025-01-10,Neutral,0.0
2025-01-10,Neutral,0.0
2025-01-10,Bullish,0.75
2025-01-13,Neutral,0.0
2025-01-16,Neutral,0.0
2025-01-16,Neutral,0.0
2025-01-16,Neutral,0.0
2025-01-17,Neutral,0.0
2025-01-20,Neutral,0.0
2025-01-22,Neutral,0.0
2025-01-23,Neutral,0.0
2025-01-23,Neutral,0.0
2025-01-24,Bullish,0.65
2025-01-24,Neutral,0.0
2025-01-24,Neutral,0.0
2025-01-25,Neutral,0.0
2025-01-28,Neutral,0.0
2025-01-28,Neutral,0.0
2025-01-28,Neutral,-0.3
2025-01-28,Neutral,0.0
2025-01-29,Bullish,0.65
2025-01-30,Neutral,0.0
2025-01-31,Bullish,0.7
