date,category,directional_score
2024-10-18,Neutral,0.35
2024-10-18,Neutral,0.2
2024-10-18,Neutral,0.25
2024-10-19,Neutral,0.0
2024-10-19,Bullish,0.75
2024-10-19,Neutral,0.1
2024-10-20,Bullish,0.9
2024-10-21,Neutral,0.0
2024-10-22,Neutral,0.3
2024-10-23,Neutral,0.0
2024-10-23,Neutral,0.3
2024-10-24,Neutral,0.0
2024-10-25,Neutral,0.1
2024-10-25,Bullish,0.7
2024-10-25,Neutral,0.0
2024-10-27,Neutral,0.45
2024-10-28,Neutral,0.0
2024-10-28,Neutral,0.0
2024-10-29,Neutral,0.0
2024-10-29,Neutral,-0.35
2024-10-30,Bearish,-0.7
2024-10-30,Neutral,0.0
2024-10-30,Bullish,0.85
2024-10-31,Neutral,0.0
2024-11-04,Neutral,-0.3
2024-11-04,Neutral,0.1
2024-11-05,Neutral,0.0
2024-11-05,Bullish,0.75
2024-11-05,Neutral,0.1
2024-11-05,Neutral,0.15
2024-11-06,Bullish,0.65
2024-11-06,Neutral,0.0
2024-11-14,Neutral,0.15
2024-11-15,Neutral,0.1
2024-11-15,Neutral,0.0
2024-11-16,Bullish,0.8
2024-11-18,Bullish,0.7
2024-11-19,Neutral,0.1
2024-11-19,Bullish,0.65
2024-11-19,Neutral,0.0
2024-11-19,Neutral,0.55
2024-11-19,Neutral,0.0
2024-11-21,Neutral,0.0
2024-11-22,Neutral,0.0
2024-11-23,Neutral,0.0
2024-11-25,Bullish,0.65
2024-11-26,Bearish,-0.7
2024-11-29,Neutral,0.15
2024-12-01,Bullish,0.7
2024-12-03,Neutral,-0.25
2024-12-03,Neutral,0.0
2024-12-05,Neutral,0.0
2024-12-06,Neutral,-0.3
2024-12-07,Neutral,0.0
2024-12-08,Neutral,0.0
2024-12-10,Neutral,0.0
2024-12-10,Bullish,0.85
2024-12-12,Neutral,0.0
2024-12-13,Bullish,0.9
2024-12-13,Bullish,0.9
2024-12-14,Neutral,0.0
2024-12-14,Neutral,0.0
2024-12-15,Neutral,0.45
2024-12-17,Neutral,0.0
2024-12-17,Neutral,0.55
2024-12-21,Neutral,0.0
2024-12-23,Neutral,0.55
2024-12-25,Neutral,0.0
2024-12-26,Neutral,-0.3
2024-12-26,Neutral,0.0
2024-12-28,Neutral,0.0
2024-12-29,Neutral,0.45
2025-01-03,Neutral,0.15
2025-01-03,Neutral,0.5
2025-01-06,Neutral,0.0
2025-01-06,Neutral,0.0
2025-01-07,Neutral,0.25
2025-01-08,Neutral,0.1
2025-01-08,Neutral,0.2
2025-01-08,Neutral,0.0
2025-01-10,Neutral,0.0
2025-01-10,Neutral,0.0
2025-01-13,Neutral,0.0
2025-01-14,Neutral,0.4
2025-01-17,Neutral,0.0
2025-01-20,Neutral,0.0
2025-01-21,Neutral,0.0
2025-01-25,Neutral,0.0
2025-01-27,Neutral,0.0
2025-01-28,Neutral,0.0
2025-01-28,Neutral,0.2
2025-01-28,Neutral,0.0
2025-01-28,Neutral,0.4
2025-01-29,Neutral,0.0
2025-01-29,Neutral,0.0
2025-01-30,Bullish,0.7
2025-02-03,Neutral,0.0
2025-02-04,Neutral,0.0
2025-02-04,Bullish,0.8
2025-02-05,Neutral,0.45
2025-02-05,Neutral,0.0
2025-02-05,Neutral,0.0
2025-02-06,Neutral,0.0
2025-02-06,Neutral,0.0
2025-02-16,Bullish,0.65
2025-02-17,Bearish,-0.7
2025-02-17,Neutral,0.0
2025-02-18,Neutral,0.0
2025-02-18,Neutral,0.0
2025-02-19,Neutral,-0.1
2025-02-19,Neutral,0.0
2025-02-19,Neutral,0.0
2025-02-19,Neutral,0.0
2025-02-19,Neutral,0.0
2025-02-20,Neutral,0.15
2025-02-21,Neutral,0.45
2025-02-22,Neutral,0.0
2025-02-24,Neutral,0.0
2025-02-26,Neutral,0.0
2025-02-28,Neutral,0.0
2025-03-03,Neutral,0.0
2025-03-03,Neutral,0.35
2025-03-04,Neutral,0.0
2025-03-05,Neutral,0.0
2025-03-06,Neutral,0.0
2025-03-06,Neutral,0.0
2025-03-07,Neutral,0.2
2025-03-07,Neutral,0.1
2025-03-10,Neutral,0.2
2025-03-11,Bullish,0.7
2025-03-12,Neutral,0.0
2025-03-13,Neutral,0.0
2025-03-14,Neutral,0.0
2025-03-15,Neutral,0.0
2025-03-15,Neutral,0.1
2025-03-21,Neutral,0.0
2025-03-21,Neutral,0.0
2025-03-24,Neutral,0.0
2025-03-25,Bullish,0.8
2025-03-27,Neutral,0.0
2025-03-27,Bearish,-0.7
2025-03-28,Neutral,-0.3
2025-03-28,Neutral,0.0
2025-03-31,Neutral,0.0
2025-04-02,Bullish,0.85
2025-04-02,Neutral,0.55
2025-04-02,Neutral,0.0
2025-04-04,Neutral,0.0
2025-04-08,Bullish,0.65
2025-04-08,Neutral,0.0
2025-04-08,Neutral,0.0
2025-04-09,Neutral,0.2
2025-04-10,Neutral,0.0
2025-04-10,Neutral,0.0
2025-04-12,Bearish,-0.75
2025-04-12,Neutral,0.0
2025-04-13,Neutral,0.0
2025-04-13,Neutral,0.0
2025-04-17,Bearish,-0.35
2025-04-21,Neutral,0.1
2025-04-21,Neutral,0.35
2025-04-22,Neutral,0.2
2025-04-23,Neutral,0.0
2025-04-24,Bullish,0.65
2025-04-24,Bullish,0.7
2025-04-26,Bullish,0.75
2025-04-29,Neutral,0.0
2025-04-30,Neutral,0.0
2025-05-01,Neutral,0.0
2025-05-01,Neutral,0.25
2025-05-02,Bullish,0.7
2025-05-02,Bullish,0.65
2025-05-04,Neutral,0.0
2025-05-07,Neutral,0.0
2025-05-08,Neutral,0.0
2025-05-08,Neutral,0.0
2025-05-13,Bullish,0.75
2025-05-13,Neutral,0.4
2025-05-14,Neutral,0.2
2025-05-14,Neutral,0.25
2025-05-19,Bullish,0.8
2025-05-22,Neutral,0.0
2025-05-22,Neutral,0.0
2025-05-23,Neutral,0.0
2025-05-27,Bullish,0.7
2025-05-27,Bullish,0.7
2025-05-28,Neutral,0.55
2025-05-28,Neutral,0.15
2025-05-29,Neutral,0.0
2025-05-30,Neutral,-0.25
2025-05-30,Neutral,-0.2
2025-05-31,Neutral,0.0
2025-06-02,Neutral,0.1
2025-06-03,Bullish,0.85
2025-06-04,Neutral,0.0
2025-06-04,Neutral,0.1
2025-06-04,Neutral,0.0
2025-06-05,Neutral,0.1
2025-06-05,Neutral,0.1
2025-06-06,Neutral,0.0
2025-06-06,Bullish,0.85
2025-06-10,Neutral,0.0
2025-06-11,Neutral,0.1
2025-06-11,Neutral,0.0
2025-06-12,Neutral,0.2
2025-06-12,Neutral,0.0
2025-06-14,Bullish,0.85
2025-06-20,Neutral,0.0
2025-06-21,Neutral,-0.25
2025-06-23,Neutral,0.0
2025-06-24,Bullish,0.65
2025-06-25,Neutral,0.0
2025-06-25,Neutral,0.0
2025-06-27,Neutral,0.2
2025-06-27,Neutral,0.5
2025-06-28,Neutral,0.15
2025-07-01,Bullish,0.75
2025-07-01,Neutral,0.0
2025-07-03,Neutral,0.0
2025-07-04,Neutral,0.0
2025-07-04,Neutral,0.15
2025-07-09,Bullish,0.85
2025-07-10,Neutral,0.0
2025-07-10,Neutral,0.0
2025-07-11,Bullish,0.65
2025-07-12,Neutral,0.45
2025-07-14,Neutral,0.0
2025-07-14,Neutral,0.0
2025-07-15,Bullish,0.8
2025-07-15,Neutral,0.0
2025-07-20,Neutral,0.3
2025-07-24,Bullish,0.7
2025-07-24,Neutral,0.25
2025-07-25,Bearish,-0.7
2025-07-25,Neutral,0.2
2025-07-29,Neutral,0.0
2025-07-29,Neutral,0.0
2025-07-30,Neutral,0.55
2025-07-30,Neutral,0.0
2025-07-30,Neutral,0.2
2025-08-01,Bearish,-0.3
2025-08-05,Neutral,0.0
2025-08-07,Neutral,0.0
2025-08-09,Neutral,0.15
2025-08-10,Neutral,0.0
2025-08-11,Neutral,0.0
2025-08-14,Neutral,0.0
2025-08-14,Bullish,0.55
2025-08-15,Bullish,0.6
2025-08-16,Neutral,0.0
2025-08-17,Neutral,0.0
2025-08-18,Neutral,0.0
2025-08-20,Neutral,0.0
2025-08-20,Bullish,0.65
2025-08-21,Neutral,0.0
2025-08-21,Neutral,-0.2
2025-08-21,Neutral,0.0
2025-08-21,Neutral,-0.3
2025-08-22,Neutral,0.2
2025-08-28,Neutral,0.0
2025-08-28,Neutral,0.0
2025-08-29,Bullish,0.7
2025-08-30,Neutral,0.0
2025-08-30,Neutral,0.25
2025-09-01,Bullish,0.8
2025-09-01,Bullish,0.6
2025-09-02,Neutral,0.0
2025-09-03,Neutral,0.2
2025-09-05,Neutral,0.0
2025-09-05,Bullish,0.85
2025-09-08,Neutral,0.4
2025-09-08,Neutral,0.2
2025-09-11,Bullish,0.7
2025-09-11,Neutral,0.1
2025-09-13,Neutral,0.2
2025-09-14,Neutral,0.0
2025-09-17,Neutral,-0.2
2025-09-19,Neutral,0.0
2025-09-19,Neutral,0.0
2025-09-23,Neutral,0.0
2025-09-24,Neutral,0.1
2025-09-24,Bullish,0.65
2025-09-25,Bullish,0.75
2025-09-25,Neutral,0.0
2025-09-29,Neutral,0.4
2025-09-30,Neutral,0.0
2025-09-30,Neutral,0.2
2025-09-30,Neutral,0.0
2025-10-01,Neutral,0.0
2025-10-01,Neutral,0.0
2025-10-02,Neutral,0.25
2025-10-02,Neutral,-0.35
2025-10-03,Neutral,0.0
2025-10-03,Neutral,0.2
2025-10-03,Neutral,0.2
2025-10-03,Neutral,0.1
2025-10-03,Neutral,0.0
2025-10-03,Bullish,0.7
2025-10-04,Neutral,-0.1
2025-10-06,Neutral,0.0
2025-10-06,Neutral,0.0
2025-10-06,Neutral,0.0
2025-10-07,Bullish,0.65
2025-10-08,Neutral,-0.2
2025-10-08,Neutral,0.2
2025-10-09,Neutral,0.0
2025-10-09,Neutral,-0.25
2025-10-09,Neutral,0.2
2025-10-09,Neutral,0.0
2025-10-10,Bullish,0.8
2025-10-11,Neutral,-0.2
