date,headline,source,summary
2025-03-07,Pfizer Vs. Johnson & Johnson: Whos The Better Bargain For Investors,SeekingAlpha,Discover the strengths & weaknesses of healthcare giants Johnson & Johnson and Pfizer. Find out which stock is more promising for long-term investors.
2025-03-07,ClearBridge Sustainability Leaders Strategy Q4 2024 Commentary,SeekingAlpha,The ClearBridge Sustainability Leaders Strategy underperformed its Russell 3000 Index benchmark in the fourth quarter. Click here to read the full commentary.
2025-03-08,Sagimet Biosciences Denifanstat Should Be Worth More Today,SeekingAlpha,"Explore SGMTs breakthrough MASH therapy, Denifanstat, with FDA designation & Phase 3 progress. Click here to read my most recent analysis of SGMT stock."
2025-03-11,"Viking Therapeutics: Finally, Here Comes The Buying Opportunity (Upgrade)",SeekingAlpha,"Viking Therapeutics remains speculative despite progress in its clinical portfolio, notably the VK2735 program for obesity. Click here to read why VKTX is a Buy."
2025-03-11,Fidelity International Capital Appreciation Fund Q4 2024 Review,SeekingAlpha,"For the final quarter of 2024, the fund returned -5.12%, outpacing the -7.58% result of the benchmark MSCI All Country World Index ex USA (Net MA) Index. Read more here."
2025-03-12,Tracking Renaissance Technologies 13F Portfolio - Q4 2024 Update,SeekingAlpha,"Renaissance Technologies 13F reveals shifts in a $67.6B portfolio with notable changes in Palantir, Novo Nordisk, and NVIDIA. Read a portfolio update here."
2025-03-13,AbbVie Is Preparing To Challenge Eli Lilly And Novo Nordisk,SeekingAlpha,"AbbVie Inc. enters the obesity market with GUBamy, a promising amylin analog. Click here to find out why ABBV stock is a Buy."
2025-03-18,BlackRock Unconstrained Equity Fund Q4 2024 Commentary,SeekingAlpha,"The fund posted returns of -3.32% (Institutional shares) and -3.41% (Investor A shares, without sales charge) for the fourth quarter of 2024. Read more here."
2025-03-19,Novo Nordisk (NVO) Is Considered a Good Investment by Brokers: Is That True?,Yahoo,"According to the average brokerage recommendation (ABR), one should invest in Novo Nordisk (NVO). It is debatable whether this highly sought-after metric is effective because Wall Street analysts recommendations tend to be overly optimistic. Would it be worth investing in the stock?"
2025-03-19,Managing Risk Through Market Badness With Rob Isbitts,SeekingAlpha,Rob Isbitts explains how investors should manage risk in the midst of volatile markets.
2025-03-19,Novo Nordisk (NVO): Among the Best Diabetes Stocks to Buy According to Billionaires,Yahoo,"We recently published a list of 10 Best Diabetes Stocks To Buy According to Billionaires. In this article, we are going to take a look at where Novo Nordisk A/S (NYSE:NVO) stands against other best diabetes stocks to buy according to billionaires. The Growing Market and Innovation in Continuous Glucose Monitoring (CGM) Technology The WHO […]"
2025-03-20,Lazard International Equity Select Portfolio Q4 2024 Commentary,SeekingAlpha,"During Q4 2024, the Lazard International Equity Select Portfolio fell 9.2% (net), lagging the MSCI All Country World ex-US Index which fell 7.6%. Click here to read more."
2025-03-20,3 Promising Biotechs Trading Substantially Under Consensus Analyst Firm Price Targets,SeekingAlpha,"Discover three undervalued biotech stocks with strong assets, solid cash reserves, and major catalysts ahead. Click for the picks and why I like them."
2025-03-21,The Davenport Core Leaders Fund Q4 2024 Commentary,SeekingAlpha,The Davenport Core Leaders Fund closed out the fourth quarter and the full-year of 2024 achieving another strong year of growth. Click here to read the full commentary.
2025-03-26,"Buy Low, Never Sell - 2 Elite Dividend Stocks Built To Last",SeekingAlpha,Successful investing means ignoring hype and sticking to quality-forever holdings. Read more about two dividend stocks that thrive in any market environment.
2025-03-29,Lexicons Drug Discovery Engine Validated By Novos $1 Billion Obesity Drug Deal (Upgrade),SeekingAlpha,Lexicons stock rose 60% after securing a potential $1 billion deal with Novo Nordisk for preclinical obesity drug LX9851. Click here to read my analysis.
2025-03-31,PGIM Jennison Global Opportunities Fund Q4 2024 Commentary,SeekingAlpha,"The PGIM Jennison Global Opportunities Fund returned -0.6%, holding up slightly better than the MSCI ACWI Index. Click here to read the full commentary."
2025-04-04,SCHD Alternative Strategy: Weathered March Better Than The S&P 500,SeekingAlpha,"The 4-factor dividend growth strategy is up 7% YTD in 2025, outperforming SCHD by 7.35%. Find out how itâs delivered a 16.97% CAGR since launch."
2025-04-07,Thornburg Better World International Fund Q4 2024 Commentary,SeekingAlpha,"In 4Q24, the Thornburg Better World International Fund (I share class) returned -6.68%, 92 basis points ahead of the MSCI ACWI ex-U.S. Index. Read more here."
2025-04-09,Trumps Tariffs Circle Pharma Industry: Who It Affects And How It May Play Out,SeekingAlpha,Explore the impact of proposed Pharma tariffs on global markets as major stocks tumble. Click for my updated look at selected picks in the health industry.
2025-04-11,Harbor International Fund Q4 2024 Commentary,SeekingAlpha,"During the fourth quarter of 2024, The Harbor International Fund returned -8.22%, slightly underperforming its benchmark, the MSCI EAFE (ND) Index, which returned -8.11%."
